2020-03-29, Mumbai Indians, Chennai Super Kings, 8:00 PM, Mumbai, 0, 0, 0
2020-03-30, Delhi Capitals, Kings XI Punjab, 8:00 PM, Delhi, 0, 0, 0
2020-03-31, Royal Challengers Bangalore, Kolkata Knight Riders, 8:00 PM, Bengaluru, 0, 0, 0
2020-04-01, Sunrisers Hyderabad, Mumbai Indians, 8:00 PM, Hyderabad, 0, 0, 0
2020-04-02, Chennai Super Kings, Rajasthan Royals, 8:00 PM, Chennai, 0, 0, 0
2020-04-03, Kolkata Knight Riders, Delhi Capitals, 8:00 PM, Kolkata, 0, 0, 0
2020-04-04, Kings XI Punjab, Sunrisers Hyderabad, 8:00 PM, Mohali, 0, 0, 0
2020-04-05, Mumbai Indians, Royal Challengers Bangalore, 4:00 PM, Mumbai, 0, 0, 0
2020-04-05, Rajasthan Royals, Delhi Capitals, 8:00 PM, Jaipur-Guwahati, 0, 0, 0
2020-04-06, Kolkata Knight Riders, Chennai Super Kings,	8:00 PM, Kolkata, 0, 0, 0
2020-04-07, Royal Challengers Bangalore, Sunrisers Hyderabad, 8:00 PM, Bengaluru, 0, 0, 0
2020-04-08, Kings XI Punjab, Mumbai Indians, 8:00 PM, Mohali, 0, 0, 0
2020-04-09, Rajasthan Royals, Kolkata Knight Riders, 8:00 PM, Jaipur-Guwahati, 0, 0, 0
2020-04-10, Delhi Capitals, Royal Challengers Bangalore, 8:00 PM, Delhi, 0, 0, 0
2020-04-11, Chennai Super Kings, Kings XI Punjab, 8:00 PM, Chennai, 0, 0, 0
2020-04-12, Sunrisers Hyderabad, Rajasthan Royals, 4:00 PM, Hyderabad, 0, 0, 0
2020-04-12, Kolkata Knight Riders, Mumbai Indians, 8:00 PM, Kolkata, 0, 0, 0
2020-04-13, Delhi Capitals, Chennai Super Kings, 8:00 PM, Delhi, 0, 0, 0
2020-04-14, Kings XI Punjab, Royal Challengers Bangalore, 8:00 PM, Mohali, 0, 0, 0
2020-04-15, Mumbai Indians, Rajasthan Royals, 8:00 PM, Mumbai, 0, 0, 0
2020-04-16, Sunrisers Hyderabad, Kolkata Knight Riders, 8:00 PM, Hyderabad, 0, 0, 0
2020-04-17, Kings XI Punjab, Chennai Super Kings, 8:00 PM, Mohali, 0, 0, 0
2020-04-18, Royal Challengers Bangalore, Rajasthan Royals, 8:00 PM, Bengaluru, 0, 0, 0
2020-04-19, Delhi Capitals, Kolkata Knight Riders, 4:00 PM, Delhi, 0, 0, 0
2020-04-19, Chennai Super Kings, Sunrisers Hyderabad, 8:00 PM, Chennai, 0, 0, 0
2020-04-20, Mumbai Indians, Kings XI Punjab, 8:00 PM, Mumbai, 0, 0, 0
2020-04-21, Rajasthan Royals, Sunrisers Hyderabad, 8:00 PM, Jaipur-Guwahati, 0, 0, 0
